time,durable_step,current_step,furthest_step,steps_at_risk,train_loss,tokens_b,nodes_training,nodes_lost,replacements,below_full_world,degraded_band,goodput,ms_per_step,ms_per_step_typical,whole_group_restarts,usd,usd_per_1k,supervisor_up
1786337896893,819,840,840,21,4.8215,0.412877,8,0,0,0,,0.0,1788,1777,0,4.4555,5.3041,1
1786337914250,819,850,850,31,4.8527,0.417792,8,0,0,0,,0.0,1736,1777,0,4.4943,5.2874,1
1786337931661,819,860,860,41,4.8191,0.422707,8,0,0,0,,0.0,1741,1783,0,4.5332,5.2712,1
1786337949430,819,870,870,51,4.7982,0.427622,8,0,0,0,,0.0,1777,1783,0,4.5729,5.2562,1
1786338007177,870,880,880,10,4.7865,0.432538,7,1,0,1,880,0.0,2057,1777,0,4.6949,5.3351,1
1786338027019,870,890,890,20,4.7294,0.437453,7,1,0,1,890,0.0,1984,1764,0,4.7393,5.325,1
1786338046901,870,900,900,30,4.7094,0.442368,7,1,0,1,900,0.0,1988,1764,0,4.7837,5.3152,1
1786338117429,900,910,910,10,4.6929,0.447283,7,1,0,1,910,0.0,7053,1777,0,4.9414,5.4301,1
1786338137989,900,920,920,20,4.6803,0.452198,7,1,0,1,920,0.0,2056,1783,0,4.9873,5.421,1
1786338225746,900,910,920,10,4.6834,0.447283,8,1,1,0,,0.0,2669,1777,0,5.1835,5.6962,1
1786338243005,900,920,920,20,4.6656,0.452198,8,1,1,0,,0.0,1726,1764,0,5.2221,5.6762,1
1786338260206,900,930,930,30,4.6522,0.457114,8,1,1,0,,0.0,1720,1763,0,5.2606,5.6565,1
1786338296165,930,940,940,10,4.6041,0.462029,8,1,1,0,,0.0,3596,1777,0,5.341,5.6819,1
1786338313994,930,950,950,20,4.6267,0.466944,8,1,1,0,,0.0,1783,1783,0,5.3808,5.664,1
1786338331346,930,960,960,30,4.5671,0.471859,8,1,1,0,,0.0,1735,1777,0,5.4196,5.6454,1
1786338348705,930,970,970,40,4.58,0.476774,8,1,1,0,,0.0,1736,1763,0,5.4584,5.6272,1
1786338366092,930,980,980,50,4.5578,0.48169,8,1,1,0,,0.0,1739,1746,0,5.4973,5.6095,1
1786338401806,982,990,990,8,4.4916,0.486605,8,1,1,0,,0.0,3571,1763,0,5.5771,5.6335,1
1786338419440,982,1000,1000,18,4.5146,0.49152,8,1,1,0,,0.0,1763,1777,0,5.6165,5.6165,1
1786338436875,982,1010,1010,28,4.4897,0.496435,8,1,1,0,,0.0,1744,1763,0,5.6555,5.5995,1
1786338454194,982,1020,1020,38,4.4727,0.50135,8,1,1,0,,0.0,1732,1757,0,5.6942,5.5826,1
1786338471652,982,1030,1030,48,4.474,0.506266,8,1,1,0,,0.0,1746,1746,0,5.7333,5.5663,1
1786338505468,1033,1040,1040,7,4.469,0.511181,8,1,1,0,,0.0,3382,1746,0,5.8089,5.5854,1
1786338523476,1033,1050,1050,17,4.4277,0.516096,8,1,1,0,,0.0,1801,1746,0,5.8491,5.5706,1
1786338540901,1033,1060,1060,27,4.4321,0.521011,8,1,1,0,,0.0,1742,1746,0,5.8881,5.5548,1
1786338558316,1033,1070,1070,37,4.3955,0.525926,8,1,1,0,,0.0,1741,1746,0,5.927,5.5393,1
1786338575681,1033,1080,1080,47,4.3973,0.530842,8,1,1,0,,0.0,1737,1757,0,5.9658,5.5239,1
1786338604612,1033,1090,1090,57,4.4083,0.535757,8,1,1,0,,0.0,2893,1757,0,6.0305,5.5326,1
1786338626775,1085,1100,1100,15,4.3372,0.540672,8,1,1,0,,0.0,2216,1750,0,6.0801,5.5273,1
1786338644215,1085,1110,1110,25,4.3515,0.545587,8,1,1,0,,0.0,1744,1746,0,6.119,5.5127,1
1786338661607,1085,1120,1120,35,4.3473,0.550502,8,1,1,0,,0.0,1739,1746,0,6.1579,5.4981,1
1786338679057,1085,1130,1130,45,4.3377,0.555418,8,1,1,0,,0.0,1745,1750,0,6.1969,5.484,1
1786338708155,1085,1140,1140,55,4.3157,0.560333,8,1,1,0,,0.0,2910,1757,0,6.262,5.493,1
1786338730128,1137,1150,1150,13,4.3228,0.565248,8,1,1,0,,0.0,2197,1750,0,6.3111,5.4879,1
1786338747698,1137,1160,1160,23,4.3022,0.570163,8,1,1,0,,0.0,1757,1750,0,6.3504,5.4745,1
1786338765035,1137,1170,1170,33,4.2905,0.575078,8,1,1,0,,0.0,1734,1751,0,6.3891,5.4608,1
1786338782452,1137,1180,1180,43,4.2682,0.579994,8,1,1,0,,0.0,1742,1755,0,6.4281,5.4475,1
1786338810940,1137,1190,1190,53,4.2746,0.584909,8,1,1,0,,0.0,2849,1757,0,6.4918,5.4553,1
1786338834199,1189,1200,1200,11,4.2654,0.589824,8,1,1,0,,0.0,2326,1755,0,6.5438,5.4531,1
1786338884295,1189,1210,1210,21,4.2547,0.594739,8,1,1,0,,0.0,5010,1755,0,6.6558,5.5006,1
1786338912933,1189,1220,1220,31,4.2258,0.599654,8,1,1,0,,0.0,2864,1755,0,6.7198,5.508,1
1786338935414,1219,1230,1230,11,4.2278,0.60457,8,1,1,0,,0.0,2248,1757,0,6.77,5.5041,1
